Time,Message,PnL
07 Aug 09:45,Regime shifted to SIDEWAYS,
07 Aug 10:17,Regime shifted to DIRECTIONAL,
07 Aug 10:54,Regime shifted to SIDEWAYS,
07 Aug 11:04,Regime shifted to DIRECTIONAL,
07 Aug 11:10,Regime shifted to SIDEWAYS,
07 Aug 11:28,Regime shifted to DIRECTIONAL,
07 Aug 11:34,Regime shifted to SIDEWAYS,
07 Aug 11:52,Regime shifted to DIRECTIONAL,
07 Aug 12:32,Regime shifted to SIDEWAYS,
07 Aug 13:51,Regime shifted to DIRECTIONAL,
07 Aug 14:01,Regime shifted to SIDEWAYS,
07 Aug 14:13,Regime shifted to DIRECTIONAL,
07 Aug 14:21,Regime shifted to SIDEWAYS,
07 Aug 14:23,Regime shifted to DIRECTIONAL,
07 Aug 14:24,Regime shifted to SIDEWAYS,
10 Aug 09:16,Regime shifted to VOLATILE,
10 Aug 09:23,Regime shifted to DIRECTIONAL,
10 Aug 09:56,Regime shifted to SIDEWAYS,
10 Aug 10:21,Regime shifted to DIRECTIONAL,
10 Aug 10:58,Regime shifted to SIDEWAYS,
10 Aug 12:18,Regime shifted to DIRECTIONAL,
10 Aug 12:21,Regime shifted to SIDEWAYS,
10 Aug 12:56,Regime shifted to DIRECTIONAL,
10 Aug 13:20,Regime shifted to SIDEWAYS,
10 Aug 13:45,Regime shifted to DIRECTIONAL,
10 Aug 13:47,Regime shifted to SIDEWAYS,
10 Aug 14:05,Regime shifted to DIRECTIONAL,
10 Aug 14:06,Regime shifted to SIDEWAYS,
10 Aug 14:39,Regime shifted to DIRECTIONAL,
10 Aug 15:05,Regime shifted to SIDEWAYS,
11 Aug 09:15,Regime shifted to VOLATILE,
11 Aug 09:21,Regime shifted to SIDEWAYS,
11 Aug 09:23,Regime shifted to DIRECTIONAL,
11 Aug 10:01,Regime shifted to SIDEWAYS,
11 Aug 11:09,Regime shifted to DIRECTIONAL,
11 Aug 11:22,Regime shifted to SIDEWAYS,
11 Aug 11:27,Regime shifted to DIRECTIONAL,
11 Aug 11:35,Regime shifted to SIDEWAYS,
11 Aug 12:49,Regime shifted to DIRECTIONAL,
11 Aug 12:56,Regime shifted to SIDEWAYS,
11 Aug 13:07,Regime shifted to DIRECTIONAL,
11 Aug 13:16,Regime shifted to SIDEWAYS,
11 Aug 14:58,Regime shifted to DIRECTIONAL,
11 Aug 15:09,Regime shifted to SIDEWAYS,
12 Aug 09:16,Regime shifted to VOLATILE,
12 Aug 09:23,Regime shifted to SIDEWAYS,
12 Aug 09:53,Regime shifted to DIRECTIONAL,
12 Aug 10:26,Regime shifted to SIDEWAYS,
12 Aug 10:48,Regime shifted to DIRECTIONAL,
12 Aug 11:46,Regime shifted to SIDEWAYS,
12 Aug 11:59,Regime shifted to DIRECTIONAL,
12 Aug 12:18,Regime shifted to SIDEWAYS,
12 Aug 14:31,Regime shifted to DIRECTIONAL,
13 Aug 09:15,Regime shifted to VOLATILE,
13 Aug 09:20,Regime shifted to DIRECTIONAL,
13 Aug 09:24,Regime shifted to SIDEWAYS,
13 Aug 10:32,Regime shifted to DIRECTIONAL,
13 Aug 10:32,Entered DIRECTIONAL (buy PE) - Capital Used: ₹9135.75,
13 Aug 10:33,Trailing Stop raised to 18.33% (High PnL: 1.67%),
13 Aug 10:36,Regime shifted to SIDEWAYS,
13 Aug 10:36,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-29.25000000000111
13 Aug 11:07,Regime shifted to DIRECTIONAL,
13 Aug 11:07,Entered DIRECTIONAL (buy PE) - Capital Used: ₹9018.75,
13 Aug 11:08,Trailing Stop raised to 19.82% (High PnL: 0.18%),
13 Aug 11:11,Trailing Stop raised to 19.68% (High PnL: 0.32%),
13 Aug 11:13,Trailing Stop raised to 18.45% (High PnL: 1.55%),
13 Aug 11:22,Regime shifted to SIDEWAYS,
13 Aug 11:22,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-386.74999999999926
13 Aug 11:31,Regime shifted to DIRECTIONAL,
13 Aug 11:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹9506.25,
13 Aug 11:32,Trailing Stop raised to 19.11% (High PnL: 0.89%),
13 Aug 12:03,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-1914.2500000000002
13 Aug 12:04,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8947.25,
13 Aug 12:05,Trailing Stop raised to 20.00% (High PnL: 0.00%),
13 Aug 12:08,Trailing Stop raised to 19.31% (High PnL: 0.69%),
13 Aug 12:09,Trailing Stop raised to 18.33% (High PnL: 1.67%),
13 Aug 12:10,Trailing Stop raised to 17.97% (High PnL: 2.03%),
13 Aug 12:11,Trailing Stop raised to 16.51% (High PnL: 3.49%),
13 Aug 12:12,Trailing Stop raised to 15.97% (High PnL: 4.03%),
13 Aug 12:17,Trailing Stop raised to 15.39% (High PnL: 4.61%),
13 Aug 12:29,Regime shifted to SIDEWAYS,
13 Aug 12:29,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),315.24999999999966
13 Aug 12:52,Regime shifted to DIRECTIONAL,
13 Aug 12:52,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8430.50,
13 Aug 12:53,Trailing Stop raised to 19.38% (High PnL: 0.62%),
13 Aug 12:56,Trailing Stop raised to 18.34% (High PnL: 1.66%),
13 Aug 12:57,Trailing Stop raised to 17.84% (High PnL: 2.16%),
13 Aug 13:21,Regime shifted to SIDEWAYS,
13 Aug 13:21,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-87.74999999999963
13 Aug 13:57,Regime shifted to DIRECTIONAL,
13 Aug 13:57,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8713.25,
13 Aug 13:58,Trailing Stop raised to 19.66% (High PnL: 0.34%),
13 Aug 14:00,Regime shifted to SIDEWAYS,
13 Aug 14:00,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),146.25
13 Aug 14:17,Regime shifted to DIRECTIONAL,
13 Aug 14:17,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8212.75,
13 Aug 14:18,Trailing Stop raised to 18.69% (High PnL: 1.31%),
13 Aug 14:20,Regime shifted to SIDEWAYS,
13 Aug 14:20,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-289.24999999999926
13 Aug 14:49,Regime shifted to DIRECTIONAL,
13 Aug 14:49,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8190.00,
13 Aug 14:50,Trailing Stop raised to 20.00% (High PnL: 0.00%),
13 Aug 14:51,Trailing Stop raised to 19.68% (High PnL: 0.32%),
13 Aug 14:53,Trailing Stop raised to 18.93% (High PnL: 1.07%),
13 Aug 14:56,Trailing Stop raised to 17.62% (High PnL: 2.38%),
13 Aug 15:13,Regime shifted to SIDEWAYS,
13 Aug 15:13,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-74.75000000000037
14 Aug 09:15,Regime shifted to VOLATILE,
14 Aug 09:21,Regime shifted to SIDEWAYS,
14 Aug 10:32,Regime shifted to DIRECTIONAL,
14 Aug 10:46,Regime shifted to SIDEWAYS,
14 Aug 12:14,Regime shifted to DIRECTIONAL,
14 Aug 12:41,Regime shifted to SIDEWAYS,
14 Aug 12:54,Regime shifted to DIRECTIONAL,
14 Aug 13:01,Regime shifted to SIDEWAYS,
14 Aug 13:44,Regime shifted to DIRECTIONAL,
14 Aug 14:18,Regime shifted to SIDEWAYS,
14 Aug 14:22,Regime shifted to DIRECTIONAL,
14 Aug 15:02,Regime shifted to SIDEWAYS,
14 Aug 15:11,Regime shifted to DIRECTIONAL,
17 Aug 09:15,Regime shifted to VOLATILE,
17 Aug 09:22,Regime shifted to DIRECTIONAL,
17 Aug 09:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8437.00,
17 Aug 09:32,Trailing Stop raised to 18.00% (High PnL: 2.00%),
17 Aug 09:33,Trailing Stop raised to 17.27% (High PnL: 2.73%),
17 Aug 09:49,Regime shifted to SIDEWAYS,
17 Aug 09:49,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-269.75000000000034
17 Aug 10:14,Regime shifted to DIRECTIONAL,
17 Aug 10:14,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8697.00,
17 Aug 10:15,Trailing Stop raised to 18.58% (High PnL: 1.42%),
17 Aug 10:17,Trailing Stop raised to 14.66% (High PnL: 5.34%),
17 Aug 10:18,Trailing Stop raised to 11.03% (High PnL: 8.97%),
17 Aug 10:24,Trailing Stop raised to 8.68% (High PnL: 11.32%),
17 Aug 10:42,Trailing Stop raised to 5.95% (High PnL: 14.05%),
17 Aug 10:45,Trailing Stop raised to 1.17% (High PnL: 18.83%),
17 Aug 11:09,Regime shifted to SIDEWAYS,
17 Aug 11:09,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1238.2499999999989
17 Aug 11:52,Regime shifted to DIRECTIONAL,
17 Aug 11:52,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7319.00,
17 Aug 11:53,Trailing Stop raised to 17.56% (High PnL: 2.44%),
17 Aug 11:54,Trailing Stop raised to 17.42% (High PnL: 2.58%),
17 Aug 12:07,Trailing Stop raised to 17.25% (High PnL: 2.75%),
17 Aug 12:08,Trailing Stop raised to 16.67% (High PnL: 3.33%),
17 Aug 12:09,Trailing Stop raised to 16.54% (High PnL: 3.46%),
17 Aug 12:10,Regime shifted to SIDEWAYS,
17 Aug 12:10,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),227.5
17 Aug 12:20,Regime shifted to DIRECTIONAL,
17 Aug 12:20,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8225.75,
17 Aug 12:21,Trailing Stop raised to 19.76% (High PnL: 0.24%),
17 Aug 12:59,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-1641.25
17 Aug 13:00,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7731.75,
17 Aug 13:01,Trailing Stop raised to 19.96% (High PnL: 0.04%),
17 Aug 13:41,Regime shifted to SIDEWAYS,
17 Aug 13:41,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-451.75000000000017
17 Aug 13:42,Regime shifted to DIRECTIONAL,
17 Aug 13:42,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7276.75,
17 Aug 13:43,Trailing Stop raised to 18.66% (High PnL: 1.34%),
17 Aug 13:46,Trailing Stop raised to 18.57% (High PnL: 1.43%),
17 Aug 13:47,Trailing Stop raised to 18.17% (High PnL: 1.83%),
17 Aug 13:48,Trailing Stop raised to 16.56% (High PnL: 3.44%),
17 Aug 13:50,Regime shifted to SIDEWAYS,
17 Aug 13:50,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),276.25
17 Aug 15:29,Regime shifted to DIRECTIONAL,
18 Aug 09:15,Regime shifted to VOLATILE,
18 Aug 09:20,Regime shifted to DIRECTIONAL,
18 Aug 09:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹6896.50,
18 Aug 09:32,Trailing Stop raised to 19.34% (High PnL: 0.66%),
18 Aug 09:44,Trailing Stop raised to 19.01% (High PnL: 0.99%),
18 Aug 09:45,Trailing Stop raised to 17.31% (High PnL: 2.69%),
18 Aug 09:46,Trailing Stop raised to 15.57% (High PnL: 4.43%),
18 Aug 10:07,Regime shifted to SIDEWAYS,
18 Aug 10:07,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),269.75000000000034
18 Aug 10:17,Regime shifted to DIRECTIONAL,
18 Aug 10:17,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7605.00,
18 Aug 10:18,Trailing Stop raised to 20.00% (High PnL: 0.00%),
18 Aug 10:25,Regime shifted to SIDEWAYS,
18 Aug 10:25,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-208.00000000000017
18 Aug 10:46,Regime shifted to DIRECTIONAL,
18 Aug 10:46,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7575.75,
18 Aug 10:47,Trailing Stop raised to 18.24% (High PnL: 1.76%),
18 Aug 10:51,Trailing Stop raised to 17.85% (High PnL: 2.15%),
18 Aug 10:52,Trailing Stop raised to 16.70% (High PnL: 3.30%),
18 Aug 10:53,Trailing Stop raised to 15.75% (High PnL: 4.25%),
18 Aug 10:55,Trailing Stop raised to 13.31% (High PnL: 6.69%),
18 Aug 11:09,Regime shifted to SIDEWAYS,
18 Aug 11:09,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-100.74999999999982
18 Aug 11:31,Regime shifted to DIRECTIONAL,
18 Aug 11:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8385.00,
18 Aug 11:32,Regime shifted to SIDEWAYS,
18 Aug 11:32,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-165.74999999999983
18 Aug 11:53,Regime shifted to DIRECTIONAL,
18 Aug 11:53,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7582.25,
18 Aug 11:54,Trailing Stop raised to 17.77% (High PnL: 2.23%),
18 Aug 11:55,Regime shifted to SIDEWAYS,
18 Aug 11:55,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),276.25
18 Aug 12:07,Regime shifted to DIRECTIONAL,
18 Aug 12:07,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7189.00,
18 Aug 12:08,Trailing Stop raised to 18.24% (High PnL: 1.76%),
18 Aug 12:12,Trailing Stop raised to 17.29% (High PnL: 2.71%),
18 Aug 12:13,Trailing Stop raised to 16.79% (High PnL: 3.21%),
18 Aug 12:15,Regime shifted to SIDEWAYS,
18 Aug 12:15,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),260.0
18 Aug 12:47,Regime shifted to DIRECTIONAL,
18 Aug 12:47,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7699.25,
18 Aug 12:48,Trailing Stop raised to 20.00% (High PnL: 0.00%),
18 Aug 12:50,Regime shifted to SIDEWAYS,
18 Aug 12:50,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-243.75
18 Aug 13:05,Regime shifted to DIRECTIONAL,
18 Aug 13:05,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7959.25,
18 Aug 13:06,Trailing Stop raised to 20.00% (High PnL: 0.00%),
18 Aug 13:08,Regime shifted to SIDEWAYS,
18 Aug 13:08,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-373.75
18 Aug 14:57,Regime shifted to DIRECTIONAL,
18 Aug 14:57,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7104.50,
18 Aug 14:58,Trailing Stop raised to 19.31% (High PnL: 0.69%),
18 Aug 15:04,Trailing Stop raised to 19.13% (High PnL: 0.87%),
18 Aug 15:11,Regime shifted to SIDEWAYS,
18 Aug 15:11,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-110.50000000000018
18 Aug 15:14,Regime shifted to DIRECTIONAL,
19 Aug 09:15,Regime shifted to VOLATILE,
19 Aug 09:21,Regime shifted to DIRECTIONAL,
19 Aug 09:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7384.00,
19 Aug 09:32,Trailing Stop raised to 20.00% (High PnL: 0.00%),
19 Aug 09:33,Trailing Stop raised to 17.54% (High PnL: 2.46%),
19 Aug 09:35,Trailing Stop raised to 17.18% (High PnL: 2.82%),
19 Aug 09:36,Trailing Stop raised to 16.65% (High PnL: 3.35%),
19 Aug 09:37,Trailing Stop raised to 15.47% (High PnL: 4.53%),
19 Aug 10:01,Regime shifted to SIDEWAYS,
19 Aug 10:01,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-484.24999999999926
19 Aug 10:24,Regime shifted to DIRECTIONAL,
19 Aug 10:24,Entered DIRECTIONAL (buy PE) - Capital Used: ₹6006.00,
19 Aug 10:25,Trailing Stop raised to 20.00% (High PnL: 0.00%),
19 Aug 10:29,Trailing Stop raised to 18.76% (High PnL: 1.24%),
19 Aug 10:30,Trailing Stop raised to 18.54% (High PnL: 1.46%),
19 Aug 10:31,Trailing Stop raised to 18.27% (High PnL: 1.73%),
19 Aug 10:34,Trailing Stop raised to 16.05% (High PnL: 3.95%),
19 Aug 10:37,Trailing Stop raised to 13.83% (High PnL: 6.17%),
19 Aug 10:41,Trailing Stop raised to 10.80% (High PnL: 9.20%),
19 Aug 11:07,Trailing Stop raised to 5.39% (High PnL: 14.61%),
19 Aug 11:24,Regime shifted to SIDEWAYS,
19 Aug 11:24,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),285.99999999999943
19 Aug 11:52,Regime shifted to DIRECTIONAL,
19 Aug 11:52,Entered DIRECTIONAL (buy PE) - Capital Used: ₹5541.25,
19 Aug 11:53,Trailing Stop raised to 19.71% (High PnL: 0.29%),
19 Aug 11:55,Trailing Stop raised to 19.41% (High PnL: 0.59%),
19 Aug 11:56,Trailing Stop raised to 18.48% (High PnL: 1.52%),
19 Aug 12:00,Trailing Stop raised to 17.77% (High PnL: 2.23%),
19 Aug 12:01,Trailing Stop raised to 15.60% (High PnL: 4.40%),
19 Aug 12:02,Trailing Stop raised to 14.72% (High PnL: 5.28%),
19 Aug 12:03,Trailing Stop raised to 11.73% (High PnL: 8.27%),
19 Aug 12:04,Trailing Stop raised to 9.21% (High PnL: 10.79%),
19 Aug 12:09,Trailing Stop raised to 6.69% (High PnL: 13.31%),
19 Aug 12:11,Trailing Stop raised to 5.69% (High PnL: 14.31%),
19 Aug 12:12,Trailing Stop raised to 5.57% (High PnL: 14.43%),
19 Aug 12:13,Trailing Stop raised to 3.52% (High PnL: 16.48%),
19 Aug 12:17,Regime shifted to SIDEWAYS,
19 Aug 12:17,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),633.75
19 Aug 13:30,Regime shifted to DIRECTIONAL,
19 Aug 13:30,Entered DIRECTIONAL (buy PE) - Capital Used: ₹6201.00,
19 Aug 13:31,Trailing Stop raised to 18.58% (High PnL: 1.42%),
19 Aug 13:33,Trailing Stop raised to 16.54% (High PnL: 3.46%),
19 Aug 13:37,Regime shifted to SIDEWAYS,
19 Aug 13:37,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),32.5
19 Aug 14:23,Regime shifted to DIRECTIONAL,
19 Aug 14:23,Entered DIRECTIONAL (buy PE) - Capital Used: ₹6409.00,
19 Aug 14:24,Trailing Stop raised to 18.33% (High PnL: 1.67%),
19 Aug 14:26,Trailing Stop raised to 17.62% (High PnL: 2.38%),
19 Aug 14:35,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-1667.2499999999995
19 Aug 14:36,Entered DIRECTIONAL (buy PE) - Capital Used: ₹5122.00,
19 Aug 14:37,Trailing Stop raised to 12.07% (High PnL: 7.93%),
19 Aug 14:38,Trailing Stop raised to 5.47% (High PnL: 14.53%),
19 Aug 14:39,Trailing Stop raised to 4.45% (High PnL: 15.55%),
19 Aug 14:41,Regime shifted to SIDEWAYS,
19 Aug 14:41,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),936.0000000000003
20 Aug 09:15,Regime shifted to VOLATILE,
20 Aug 09:22,Regime shifted to DIRECTIONAL,
20 Aug 09:34,Entered DIRECTIONAL (buy CE) - Capital Used: ₹8567.00,
20 Aug 09:35,Trailing Stop raised to 17.61% (High PnL: 2.39%),
20 Aug 09:36,Trailing Stop raised to 17.31% (High PnL: 2.69%),
20 Aug 09:37,Trailing Stop raised to 17.27% (High PnL: 2.73%),
20 Aug 09:40,Trailing Stop raised to 16.13% (High PnL: 3.87%),
20 Aug 09:43,Trailing Stop raised to 16.05% (High PnL: 3.95%),
20 Aug 09:44,Trailing Stop raised to 15.07% (High PnL: 4.93%),
20 Aug 09:45,Trailing Stop raised to 14.99% (High PnL: 5.01%),
20 Aug 09:55,Trailing Stop raised to 14.76% (High PnL: 5.24%),
20 Aug 09:56,Trailing Stop raised to 13.47% (High PnL: 6.53%),
20 Aug 10:11,Trailing Stop raised to 12.60% (High PnL: 7.40%),
20 Aug 10:14,Trailing Stop raised to 11.24% (High PnL: 8.76%),
20 Aug 10:15,Trailing Stop raised to 10.67% (High PnL: 9.33%),
20 Aug 10:27,Regime shifted to SIDEWAYS,
20 Aug 10:27,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),308.75
20 Aug 11:22,Regime shifted to DIRECTIONAL,
20 Aug 11:22,Entered DIRECTIONAL (buy CE) - Capital Used: ₹8255.00,
20 Aug 11:23,Trailing Stop raised to 19.02% (High PnL: 0.98%),
20 Aug 11:24,Trailing Stop raised to 18.43% (High PnL: 1.57%),
20 Aug 11:25,Trailing Stop raised to 18.31% (High PnL: 1.69%),
20 Aug 11:27,Trailing Stop raised to 16.73% (High PnL: 3.27%),
20 Aug 11:29,Trailing Stop raised to 16.50% (High PnL: 3.50%),
20 Aug 11:30,Trailing Stop raised to 13.66% (High PnL: 6.34%),
20 Aug 11:31,Trailing Stop raised to 11.14% (High PnL: 8.86%),
20 Aug 11:32,Trailing Stop raised to 7.80% (High PnL: 12.20%),
20 Aug 11:46,Trailing Stop raised to 6.22% (High PnL: 13.78%),
20 Aug 11:56,Trailing Stop raised to 5.04% (High PnL: 14.96%),
20 Aug 12:06,Regime shifted to SIDEWAYS,
20 Aug 12:06,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),1027.0000000000007
20 Aug 12:48,Regime shifted to DIRECTIONAL,
20 Aug 12:48,Entered DIRECTIONAL (buy CE) - Capital Used: ₹9360.00,
20 Aug 12:49,Trailing Stop raised to 20.00% (High PnL: 0.00%),
20 Aug 12:50,Trailing Stop raised to 15.59% (High PnL: 4.41%),
20 Aug 12:51,Trailing Stop raised to 11.81% (High PnL: 8.19%),
20 Aug 13:07,Regime shifted to SIDEWAYS,
20 Aug 13:07,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-61.74999999999926
20 Aug 14:04,Regime shifted to DIRECTIONAL,
20 Aug 14:04,Entered DIRECTIONAL (buy CE) - Capital Used: ₹8437.00,
20 Aug 14:05,Trailing Stop raised to 20.00% (High PnL: 0.00%),
20 Aug 14:07,Trailing Stop raised to 18.31% (High PnL: 1.69%),
20 Aug 14:08,Regime shifted to SIDEWAYS,
20 Aug 14:08,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),120.24999999999963
20 Aug 15:10,Regime shifted to DIRECTIONAL,
20 Aug 15:21,Regime shifted to SIDEWAYS,
20 Aug 15:29,Regime shifted to DIRECTIONAL,
21 Aug 09:15,Regime shifted to VOLATILE,
21 Aug 09:22,Regime shifted to DIRECTIONAL,
21 Aug 09:32,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7969.00,
21 Aug 09:33,Trailing Stop raised to 19.84% (High PnL: 0.16%),
21 Aug 09:34,Regime shifted to SIDEWAYS,
21 Aug 09:34,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),273.00000000000017
21 Aug 09:44,Regime shifted to DIRECTIONAL,
21 Aug 09:44,Entered DIRECTIONAL (buy PE) - Capital Used: ₹9113.00,
21 Aug 09:45,Trailing Stop raised to 20.00% (High PnL: 0.00%),
21 Aug 09:46,Trailing Stop raised to 17.86% (High PnL: 2.14%),
21 Aug 10:08,Regime shifted to SIDEWAYS,
21 Aug 10:08,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),266.5000000000015
21 Aug 10:31,Regime shifted to DIRECTIONAL,
21 Aug 10:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8131.50,
21 Aug 10:32,Trailing Stop raised to 18.40% (High PnL: 1.60%),
21 Aug 10:35,Trailing Stop raised to 16.56% (High PnL: 3.44%),
21 Aug 10:39,Regime shifted to SIDEWAYS,
21 Aug 10:39,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),279.50000000000074
21 Aug 10:42,Regime shifted to DIRECTIONAL,
21 Aug 10:42,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8060.00,
21 Aug 10:43,Trailing Stop raised to 19.60% (High PnL: 0.40%),
21 Aug 10:47,Trailing Stop raised to 17.82% (High PnL: 2.18%),
21 Aug 11:04,Regime shifted to SIDEWAYS,
21 Aug 11:04,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-311.99999999999983
21 Aug 12:04,Regime shifted to DIRECTIONAL,
21 Aug 12:04,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8443.50,
21 Aug 12:05,Trailing Stop raised to 20.00% (High PnL: 0.00%),
21 Aug 12:06,Trailing Stop raised to 19.31% (High PnL: 0.69%),
21 Aug 12:07,Trailing Stop raised to 17.84% (High PnL: 2.16%),
21 Aug 12:08,Trailing Stop raised to 17.54% (High PnL: 2.46%),
21 Aug 12:09,Trailing Stop raised to 16.77% (High PnL: 3.23%),
21 Aug 12:14,Trailing Stop raised to 13.76% (High PnL: 6.24%),
